,restaurant_name,ratings,review,location,time
118,Khao Gub Namprik Khun Jong,0,,"99 ริมทางรถไฟ บางยี่เรือ ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 10:00 PM                                    
"
119,Ka Moo Pa Deang,4.2/5,(14),"426/19-20 ถนนอิสรภาพ วัดอรุณ บางกอกใหญ่, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 10:00 PM                                    
"
120,Homm Kaokamoo,4.1/5,(7),"ตลาดหน้าเดอะ เทมโป แกรนด์ วุฒากาศ ถนนราชพฤกษ์ บางค้อ จอมทอง, 10150 Bangkok","

                                                                        Mon - Sat                                                                                        5:00 PM - 9:00 PM                                    
"
121,Look Chin Jung (Big C Itsaraphap),4.5/5,(8),"ถนนอิสรภาพ วัดกัลยาณ์ ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        9:30 AM - 7:30 PM                                    
"
122,Roast,4.6/5,(1k+),"เดอะ คอมม่อน ทองหล่อ 17, วัฒนา, 10110 Bangkok","

                                                                        Mon - Thu                                                                                        10:00 AM - 10:00 PM,                                             10:15 AM - 9:45 PM                                    

                                                                        Fri,                                                                                                 Sat                                                                                        9:00 AM - 10:00 PM,                                             9:15 AM - 9:45 PM                                    

                                                                        Sun                                                                                        9:00 AM - 9:00 PM,                                             9:15 AM - 8:45 PM                                    
"
123,Guaytiew Kae Hia Mhoo,4.1/5,(6),"52/2 ถนนวุฒากาศ บางค้อ จอมทอง, 10150 Bangkok","

                                                                        Mon - Sat                                                                                        10:00 AM - 4:30 PM                                    
"
124,Chill 44,4.3/5,(197),"ถ.เจริญนคร ซอย 44 คลองสาน บางลำภูล่าง, 10600 Bangkok","

                                                                        Mon - Wed,                                                                                                 Fri - Sun                                                                                        11:30 AM - 10:00 PM                                    
"
125,Sap Charoen Ped Palo Ped Yang,4.7/5,(11),"105 ถนนริมทางริมทางรถไฟ บางยี่เรือ ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        3:00 PM - 8:00 PM                                    
"
126,Koffeeplus Coffee Roaster,4.8/5,(15),"1557/1 ถนนเจริญนคร บางลำพูล่าง คลองสาน, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 7:00 PM                                    
"
127,Katib Kaow,5/5,(3),"22/30 เดอะ ควอเตอร์ วุฒากาศ ถนนราชพฤกษ์ บางค้อ จอมทอง, 10150 Bangkok","

                                                                        Mon,                                                                                                 Tue,                                                                                                 Thu - Sun                                                                                        2:00 PM - 10:00 PM                                    
"
128,Kuayjap Kachan,0,,"459 ราชดำเนิน ในเมือง เมือง, 62000 Kamphaeng Phet","

                                                                        Mon - Sun                                                                                        11:00 AM - 8:00 PM                                    
"
129,Tapas by Nan Charcoal Grill,0,,"ไอคอนสยาม ชั้นจี 299 ถนนเจริญนคร คลองต้นไทร คลองสาน, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 8:30 PM                                    
"
130,Chill Out at BaanYai Coffee Shop,0,,"45 อินทรพิทักษ์, บางยี่เรือ , ธนบุรี, 10600 Bangkok","

                                                                        Tue - Sat                                                                                        11:00 AM - 6:00 PM                                    
"
131,Greyhound Cafe (ICONSIAM),0,,"211 ชั้น 2 ไอคอนสยาม 299 ถนนเจริญนคร คลองต้นไทร คลองสาน, 10600 Bangkok","

                                                                        Mon - Thu                                                                                        10:30 AM - 10:00 PM                                    

                                                                        Fri - Sun                                                                                        10:30 AM - 11:00 PM                                    
"
132,Flavours of India,4.5/5,(1k+),"618 พรีเมียร์ เพลส เซ็นเตอร์ ห้องเลขที่ M18A หมู่ 5 ศรีนครินทร์ สมุทรปราการ, 10100 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 9:30 PM,                                             11:15 AM - 9:15 PM                                    
"
133,Rad Nha Yod Phak Nai Rob (Nong Yai Market),4.6/5,(14),"38/69 สี่แยกหนองใหญ่ บางแค, 10160 Bangkok","

                                                                        Mon - Sun                                                                                        4:00 PM - 10:00 PM                                    
"
134,Rad Nah Yord Phuk Taksin Empire,4.5/5,(353),"380 ถนนสมเด็จพระเจ้าตากสิน แขวงบุคคโล เขตธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 9:45 PM,                                             11:15 AM - 9:30 PM                                    
"
135,Sabb Inter (Metro West Town),4.3/5,(183),"Metro West Town, 134 Kalapaphuk, ฺBangwa, Phasi Charoen, Bangkok,  Bangkok","

                                                                        Mon - Sun                                                                                        1:00 PM - 10:00 PM                                    
"
136,Thai HOTEi Sushi,4.1/5,(6),"335 ซอยวัชรพล ถนนรามอินทรา ท่าแร้ง บางเขน, 10220 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 9:30 PM                                    
"
137,Indian Food,4.5/5,(904),"1297 ถ.เจริญนคร บางลำภูล่าง, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 9:00 PM,                                             11:15 AM - 8:45 PM                                    
"
138,S&P (Riverside Plaza),4.4/5,(61),"257/6, Charoennakorn, Samre, Thonburi, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        9:00 AM - 8:30 PM                                    
"
139,Carousel Coffee,4.5/5,(38),"1515 ถ.สมเด็จเจ้าพระยา บางยี่เรือ คลองสาน, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 6:30 PM                                    
"
140,Jem Jon Nomsod,3/5,(1),"613-615 ถนนเจริญรัถ คลองต้นไทร, 10600 Bangkok","

                                                                        Mon - Sat                                                                                        5:30 PM - 9:30 PM                                    
"
141,Duean Pen Bakery,4.6/5,(9),"10 ซอยอิสรภาพ 27,วัดท่าพระ,บางกอกใหญ่, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 9:30 PM                                    
"
142,Kanomjeen Hailum,4/5,(1),"1319 เจริญนคร 19 ถนนเจริญนคร บางลำภูล่าง คลองสาน, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        8:00 AM - 7:00 PM                                    
"
143,Chacheese Tea Bar (I'm Park),3.5/5,(9),"353 ซอย จุฬาฯ 9 วังใหม่ ปทุมวัน, 10330 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 9:00 PM                                    
"
144,Sanyod (The Lighthouse),4.5/5,(127),"เดอะไลท์เฮ้าส์ ชั้น 1 เจริญนคร 14 แขวงคลองต้นไทร เขตคลองสาน, 10600 Bangkok","

                                                                        Mon - Fri                                                                                        11:00 AM - 2:30 PM,                                             4:30 PM - 8:30 PM                                    

                                                                        Sat,                                                                                                 Sun                                                                                        11:00 AM - 8:30 PM                                    
"
145,Kung Yok Kra Ta (Hua Mum Market),3.6/5,(3),"11 ถนนประเสริฐมนูกิจ แขวงลาดพร้าว เขตลาดพร้าว, 10230 Bangkok","

                                                                        Mon,                                                                                                 Tue,                                                                                                 Thu - Sun                                                                                        5:00 PM - 10:00 PM                                    
"
146,Khao Kamoo Mod Yim,0,,"1232 ซอยสมเด็จพระเจ้าตากสิน 42 ดาวคะนอง ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sat                                                                                        6:30 PM - 10:00 PM                                    
"
147,Cat Cafe Healthy Juice,0,,"300/241 พหลโยธิน 87 ลำลูกกา คูคอด ปทุมธานี, 12130 Bangkok","

                                                                        Mon,                                                                                                 Wed - Sun                                                                                        12:00 PM - 7:30 PM                                    
"
148,Singh Coffee,4.1/5,(15),"237 อุษาอพาร์ทเมนท์ บางยี่เรือ ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        8:00 AM - 7:00 PM                                    
"
149,Sut Zap Yum Mamuang Pu Ma (Saenee Market),4.6/5,(29),"194 ถนน เพชรเกษม ปากคลองภาษีเจริญ ภาษีเจริญ, 10160 Bangkok","

                                                                        Tue - Sun                                                                                        4:00 PM - 8:00 PM                                    
"
150,Fresh me (Themall Thapra),4.2/5,(15),"เดอะ มอลล์ ท่าพระ ชั้น 5 129 ถ.รัชดาภิเษก บุคคโล, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 10:00 PM                                    
"
151,Thonburi Boat Noodle,3.9/5,(30),"67 ซอยอินทรพิทักษ์ 3 บางยี่เรือ ธนบุรี, 10600 Bangkok","

                                                                        Mon - Thu,                                                                                                 Sat,                                                                                                 Sun                                                                                        10:00 AM - 7:30 PM                                    
"
152,Seoul Chon (Thonburi),4.3/5,(754),"ห้อง BB-R13 ชั้นบี 99 ถ.รัชดาภิเษก, 10400 Bangkok","

                                                                        Mon - Fri                                                                                        11:00 AM - 8:30 PM,                                             11:15 AM - 8:15 PM                                    

                                                                        Sat,                                                                                                 Sun                                                                                        10:30 AM - 8:30 PM,                                             10:45 AM - 8:15 PM                                    
"
153,Kebab Wrap,3/5,(2),"เลขที่ 1บี-90 ชั้น 1 เอ็มบีเคเซ็นเตอร์ แขวงวังใหม่ เขตปทุมวัน, 10330 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 10:00 PM                                    
"
154,Khao Mhoo Tord Khun Yhai,4.1/5,(33),"169 ซอยเจริญนคร 18 เเยก 7 บางลำพูล่าง, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        9:30 AM - 8:00 PM                                    
"
155,New Liang Sun,4.6/5,(42),"1679/25 ถนนเทอดไท แขวงตลาดพลู เขตธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 8:00 PM,                                             10:15 AM - 7:45 PM                                    
"
156,Ma Chim Cafe,3.6/5,(3),"169/3 ถนนอรุณอัมรินทร์ วัดอรุณ บางกอกใหญ่, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:30 AM - 5:30 PM                                    
"
157,Nai Yong Samre,3/5,(2),"ซอย ตากสิน 21 ถนนสมเด็จพระเจ้าตากสิน สำเหร่ ธนบุรี, 10600 Bangkok","

                                                                        Tue - Sun                                                                                        5:30 PM - 10:00 PM                                    
"
158,Guay Jab Kor Kon Phom Yaw,4.3/5,(11),"67-69 ซอยอรุณอมรินทร์4 ถนนเทศบาล วัดกัลยาณ์ ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        9:00 AM - 7:00 PM                                    
"
159,Kaomokkai Taladplu,4.8/5,(9),"922/1 ซอยเทิศไท 20 ตลาดพลู ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        4:00 PM - 10:30 PM                                    
"
160,Kane Mochi (ICONSIAM),4.7/5,(8),"ไอคอนสยาม, ชั้น 6, 299 ถ.เจริญกรุ่ง คลองต้นไทร คลองสาน, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:45 AM - 8:30 PM                                    
"
161,Rod Tiew,0,,"7 คลองสาน 1, ท่าดินแดงซอย 2, คลองสาน, 10600 Bangkok","

                                                                        Mon - Sat                                                                                        5:00 PM - 10:00 PM                                    
"
162,Salathai (Alexander Hotel),0,,"83/3 ซอยรามคำแรม 1 หัวหมาก บางกะปิ, 10240 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 8:30 PM                                    
"
163,Joke Moothong (Sin Road),4.4/5,(72),"1 ถนน สมเด็จพระเจ้าตากสิน แขวง สำเหร่ เขต ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        12:00 AM - 11:59 PM                                    
"
164,Suksawat Khao Mhoo Daeng,3.8/5,(5),"ถนน สุขสวัสดิ์, จอมทอง, 10150 Bangkok","

                                                                        Tue - Sun                                                                                        5:00 PM - 9:30 PM                                    
"
165,Mootod Baankaek (Petchkasem),3.8/5,(56),"110 ซอยเพชรเกษม 24 ปากคลองภาษีเจริญ ภาษีเจริญ, 10160 Bangkok","

                                                                        Mon - Sun                                                                                        10:30 AM - 9:30 PM,                                             10:45 AM - 9:15 PM                                    
"
166,Sakura Shabu & BBQ,0,,"52/3 ซอยซอยวุฒากาศ 36/2 ถนนวุฒากาศ, บางค้อ, จอมทอง, 10150 Bangkok","

                                                                        Mon - Sun                                                                                        4:00 PM - 9:00 PM                                    
"
167,Tiew tue,4.6/5,(166),"560 ปากซอยเจริญนคร 18 แขวงบางลำภูล่าง เขตคลองสาน, 10600 Bangkok","

                                                                        Mon - Sat                                                                                        11:00 AM - 6:00 PM                                    
"
168,Larb J Pom Charan 18,0,,"110/7 ถนนจรัญสนิทวงศ์ บ้านช่างหล่อ บางกอกน้อย, 10700 Bangkok","

                                                                        Mon - Sun                                                                                        11:30 AM - 11:30 PM                                    
"
169,Hia Sak Rod Det,0,,"1057/10 ถนนสมเด็จพระเจ้าตากสิน ดาวคะนอง ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        2:00 PM - 8:30 PM                                    
"
170,ARUN cafe,0,,"301 ถนนวังเดิม วัดอรุณ บางกอกใหญ่, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 6:00 PM                                    
"
171,Por Pia Sod Talad Dao Kanong,5/5,(5),"1232 ซอยสมเด็จพระเจ้าตากสิน 42 ดาวคะนอง ธนบุรี, 10600 Bangkok","

                                                                        Mon - Thu,                                                                                                 Sat,                                                                                                 Sun                                                                                        11:00 AM - 4:00 PM                                    
"
172,Zaab Tae Nor,0,,"19/282-283 ซอยจอมทอง 12 ถนนวุฒากาศ บางค้อ จอมทอง, 10150 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 3:00 PM                                    
"
173,Chalee Chanee Grilled Beef,0,,"ตลาดอินดี้ ดาวคะนอง, เอกชัย , จอมทอง, 10150 Bangkok","

                                                                        Mon - Sun                                                                                        6:30 PM - 10:30 PM                                    
"
174,Hai Nai Cha Bubble Milk Tea,0,,"48 ถนนสุขสวัสดิ์ บางบอน จอมทอง, 10150 Bangkok","

                                                                        Mon - Sat                                                                                        10:00 AM - 5:00 PM                                    
"
175,Kaowgaeng Pak Tai,4.8/5,(13),"342 ถนนเจริญนคร,คลองต้นไทร, 10600 Bangkok","

                                                                        Mon - Sat                                                                                        8:00 AM - 3:00 PM                                    
"
176,Monster's Crepe (Avani),4/5,(11),"Avani Riverside Hotel ชั้น2 257 ถนนเจริญนคร สำเหร่ ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:30 AM - 8:00 PM                                    
"
177,Guay Tiew Rod Det Mea Tor,3.7/5,(4),"605/5 ถนนอิสรภาพ, วัดท่าพระ, บางกอกใหญ่, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 7:30 PM                                    
"
178,EATH by Chooji (Wongwienyai),4.4/5,(256),"99 สถานีวงเวียนใหญ่ ชั้น3 ห้อง 309 ลาดหญ้า คลองสาน สมเด็จเจ้าพระยา, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 8:30 PM,                                             11:00 AM - 9:00 PM                                    
"
179,Guaytiew Ped Paloh Tah Dindaeng,4.5/5,(2),"ท่าดินแดงซอย 9, สมเด็จเจ้าพระยา, 10600 Bangkok","

                                                                        Tue - Sun                                                                                        10:00 AM - 8:00 PM                                    
"
180,Ida Cafe,3.6/5,(15),"56/9 ซอยเอกชัย 29, จอมทอง, 10150 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 6:00 PM                                    
"
181,Lod Chong Wat Jed,0,,"ซอยปลั่งอนุสรณ์ เอกชัย ชมทอง, 10150 Bangkok","

                                                                        Mon - Sun                                                                                        5:00 PM - 11:59 PM                                    
"
182,Butter Tamsang By Je Malee,4.3/5,(49),"101 ซอยสุทธาราม 12 สำเหร่ ธนบุรี, 10600 Bangkok","

                                                                        Mon,                                                                                                 Wed - Sun                                                                                        10:00 AM - 10:30 PM                                    
"
183,Eathai @ Central Embassy,4.5/5,(1k+),"1031 เซ็นทรัลเอ็มบาสซี่ ชั้น LG ถนนเพลินจิต ลุมพินี ปทุมวัน, 10330 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 9:00 PM                                    
"
184,Lookchin Tip P'Nuch,0,,"พระราม 2 ซอย 28 แยก 20 บางขุนเทียน จอมทอง, 10150 Bangkok","

                                                                        Mon - Sat                                                                                        12:00 PM - 11:59 PM                                    
"
185,Khao Mhoo Tod 25 Baht (Talad Plu),4.2/5,(75),"137/7 ถนนเทอดไท ตลาดพลู ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        8:45 AM - 7:00 PM                                    
"
186,Bang Mod Cafe By Pui,5/5,(3),"16/47 พระราม 2 28 บางมด จอมทอง, 10150 Bangkok","

                                                                        Mon - Sat                                                                                        6:00 AM - 6:00 PM                                    
"
187,Casino Nom Sod,0,,"1147/1-2 ถนนอิสรภาพ, หิรัญรูจี, ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        12:00 PM - 9:30 PM                                    
"
188,Guay Tiew Reu Thareu Talad Plu,4.2/5,(9),"1387/3 ซอยเทอดไท 35 ถนนเทอดไท ตลาดพลู ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 9:30 PM                                    
"
189,Khao Mun Kai Rim Thang Rodfai JaoKao,4.4/5,(7),"7/19 เทอดไทย 33 ตลาดพลู ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 1:30 PM                                    
"
190,BONCHON CHICKEN (Icon Siam),4.7/5,(129),"299 ห้องเลขที่ 604 ถนนเจริญนคร คลองต้นไทร คลองสาน, 10660 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 8:30 PM                                    
"
191,Black Oak,0,,"256 Ladprao 122 Mahadthai 1, Phlabphla, Wang Thonglang, 10310 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 10:30 PM                                    
"
192,Squeeze by Tipco (Smitivej Thonburi),4.7/5,(16),"337 ถ. สมเด็จพระเจ้าตากสิน สำเหร่ ธนบุรี, 10600 Bangkok","

                                                                        Mon - Fri,                                                                                                 Sun                                                                                        10:00 AM - 10:00 PM,                                             10:15 AM - 9:45 PM                                    

                                                                        Sat                                                                                        9:00 AM - 9:00 PM,                                             9:15 AM - 8:45 PM                                    
"
193,Baan Suan Fresh Coffee (Kanlapapruek),3.5/5,(2),"338/2 ถนนกัลปพฤกษ์ บางหว้า ภาษีเจริญ, 10160 Bangkok","

                                                                        Mon - Fri                                                                                        10:00 AM - 2:00 PM                                    

                                                                        Sat,                                                                                                 Sun                                                                                        10:00 AM - 4:00 PM                                    
"
194,Duck Rice Now (Union Mall),4/5,(4),"54 ลาดพร้าว1,จตุจักร, 10900 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 8:00 PM                                    
"
195,Hug Mao Maerim,0,,"1096 แม่แรม แม่ริม, 50180 Chiang Mai","

                                                                        Mon - Sun                                                                                        8:00 AM - 8:00 PM                                    
"
196,Wat Tum Yum Yua,4.4/5,(10),"334/1 ถนนกัลปพฤกษ์ บางหว้า ภาษีเจริญ, 10160 Bangkok","

                                                                        Mon - Sun                                                                                        4:00 PM - 10:00 PM                                    
"
197,Pichert Mhee Pad Ka Chad,0,,"ตลาดเสนีย์ 194 ถนนเพชรเกษม ปากคลองภาษีเจริญ ภาษีเจริญ, 10160 Bangkok","

                                                                        Mon - Fri                                                                                        10:30 AM - 8:00 PM                                    
"
198,Padthai Rerd Rerd,4/5,(4),"32 ซอยเจริญนคร 60, เจริญนคร, สำเหร่, ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sat                                                                                        11:30 AM - 8:00 PM                                    
"
199,Jay Saparn Hun,4.5/5,(16),"1 ถนนอิสรภาพ สมเด็จเจ้าพระยา คลองสาน, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 6:30 PM                                    
"
200,Krua Koon Lin,5/5,(4),"487/1 ซอยกรุงธนบุรี 4 แยก 17, บางลําภูล่าง, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 7:45 PM                                    
"
201,Khao Mun Kai Lim Phochana (Talat Phlu),4.4/5,(39),"410 ถนเทิดไทย, บางยี่เรือ, ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        8:00 AM - 7:00 PM                                    
"
202,Cha King (The Mall Thapra),4/5,(15),"129 ถนนรัชดาภิเษก, บุคคโล, ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 8:30 PM                                    
"
203,Swensen's (Riverside),4.8/5,(98),"257 ริเวอร์ไซด์พลาซ่า เจริญนคร, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 9:00 PM                                    
"
204,Krua Hua Ka Ti,4.7/5,(8),"1061 ซอย อิสรภาพ 15 หิรัญรูจี ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sat                                                                                        10:00 AM - 6:30 PM                                    
"
205,KaiTod Mae Ung Muang Khun,4/5,(11),"99 ริมตลาดรถไฟ บางยี่ขัน ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        7:00 AM - 7:00 PM                                    
"
206,Sor Mhor Fai,4.6/5,(16),"1/19 Wutthakat 31-33, Wutthakat Road, Bang Kho, Chom thong, 10120 Bangkok","

                                                                        Mon - Wed,                                                                                                 Fri - Sun                                                                                        11:30 AM - 2:30 PM,                                             5:00 PM - 10:29 PM                                    
"
207,Mootod Baankaek,4.5/5,(596),"304 ถ.ประชาธิปก วัดกัลยา ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 10:00 PM                                    
"
208,Kao Gang Lung Auan Ton Leang,4.5/5,(21),"154 ถนนอิสรภาพ วัดกัลยาณ์ ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        7:00 AM - 5:00 PM                                    
"
209,Guaytiew Ped Mod Yim,5/5,(3),"1232 ซอยสมเด็จพระเจ้าตากสิน 42 ดาวคะนอง ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        1:30 PM - 10:00 PM                                    
"
210,Kook Ko Khai,0,,"405/14 ซอยอิสรภาพ 27,วัดท่าพระ,บางกอกใหญ่, 10600 Bangkok","

                                                                        Mon,                                                                                                 Tue,                                                                                                 Thu - Sun                                                                                        10:00 AM - 7:00 PM                                    
"
211,Chalongka (Wat Paknam Bhasi Charoen),4.6/5,(11),"114 ถนนรัชมงคลประสาธน์ ปากคลองภาษีเจริญ ภาษีเจริญ, 10160 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 6:30 PM                                    
"
212,Ran Koh Pang Aa Na,4.3/5,(3),"34-631 ซอย กุฎีเจริญพาศน์ แขวงวัดอรุณ เขตบางกอกใหญ่ กรุงเทพมหานคร 10600, 10700 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 10:00 PM                                    
"
213,Nai Ake Tomyum Noodle (Kanlapaphruek),4.3/5,(13),"356, กัลปพฤกษ์, ภาษีเจริญ, 10160 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 7:00 PM                                    
"
214,Mieng Pla Pao Khun Mae Orathai,4.4/5,(112),"64-80 ซอยสมเด็จพระเจ้าตากสิน 8,บุคคโล,ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 9:00 PM                                    
"
215,Saravanaa Bhavan,4.4/5,(1k+),"* [0] * 663 บ้านสีลมชั้น 2 สีลมซอย 19 เขตบางรัก, # Bangkok","

                                                                        Mon - Sun                                                                                        10:30 AM - 9:30 PM,                                             10:45 AM - 9:15 PM                                    
"
216,Masala Art,4.5/5,(1k+),"*[0]* ร้านมาซาล่า อาร์ท, อาคาร เอท ทองหล่อ, ห้อง Unit-L 205, ซอยทองหล่อ 8, 10110 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 10:30 PM,                                             11:15 AM - 10:15 PM                                    
"
217,Heng Heng Heng Chicken Rice (The Jas Urban Srinakarin),4/5,(14),"788 ม.5 ต.สำโรงเหนือ อ.เมือง, 10270 Samut Prakan","

                                                                        Mon - Sun                                                                                        10:30 AM - 7:30 PM                                    
"
218,Go Deng Ho Deng (Wang Doem),0,,"2/5 (14)  ถนนวังเดิม วัดอรุณ บางกอกใหญ่, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        5:00 PM - 10:30 PM                                    
"
219,Food Republic (Mega Bang Na),4.6/5,(1k+),"L2 เมกะบางนา 39 หมู่ 6 ถ.บางนา-ตราด กม ที่ 8 บางแก้ว, 10540 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 9:00 PM,                                             11:15 AM - 8:45 PM                                    
"
220,Yum Pak Plin,0,,"ตลาดออเงิน แขวงออเงิน เขตสายไหม, 10220 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 8:00 PM                                    
"
221,L’Opera Italian Pizzeria,4.5/5,(1k+),"*[0]* ร้านเลอโอเปรา, 53/1-2 ซอยสุขุมวิท 39, แขวงคลองตันเหนือ, เขตวัฒนา, 10110 Bangkok","

                                                                        Mon - Sun                                                                                        11:30 AM - 10:00 PM,                                             11:45 AM - 9:45 PM                                    
"
222,Walden Home Cafe,5/5,(3),"451 ถนนสมเด็จเจ้าพระยา คลองสาน, 10600 Bangkok","

                                                                        Mon,                                                                                                 Wed - Sun                                                                                        9:00 AM - 5:30 PM                                    
"
