,restaurant_name,ratings,review,location,time
27,Guaytiew Mara Khun Eiw,4.4/5,(35),"132-134 ซอยรัชดาภิเษก 15 บุคคโล ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 8:30 PM                                    
"
28,Baitoey Goong Ob,0,,"ซอยสมเด็จพระเจ้าตากสิน 19 สำเหร่, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        4:00 PM - 9:00 PM                                    
"
29,Sizzler (The Riverside),4.4/5,(5),"ห้องเลขที่ 206 เลขที่ 257 ถนนเจริญนคร สำเหร่ ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 9:30 PM                                    
"
30,MALA Chinese BBQ (Town in Town),4.9/5,(10),"เดอะ ซีน ทาวน์ อิน ทาวน์ ถนนศรีวรา พลับพลา วังทองหลาง, 10310 Bangkok","

                                                                        Mon - Sun                                                                                        5:00 PM - 11:30 PM                                    
"
31,Hoina Pa Zab (Indy Daokanong Market),4/5,(3),"502/24 ซอยปลั่งอนุสรณ์ จอมทอง, 10150 Bangkok","

                                                                        Mon - Sun                                                                                        5:00 PM - 11:59 PM                                    
"
32,Alangkarn Sushi,4/5,(11),"129 ถนนรัชดาภิเษก บุคคโล ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:30 AM - 8:30 PM                                    
"
33,Dunkin' Donuts (Klongsan Plaza),4/5,(31),"5/1 Charoennakorn Rd., Klongsan, 10110 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 7:00 PM                                    
"
34,Fuji (The Mall Tha Pra),4.6/5,(233),"129 เดอะมอลล์ท่าพระ ชั้น 4 ถนนรัชดาภิเษก (ท่าพระ-ตากสิน) บุคคโล ธนบุรี, 10600 Bangkok","

                                                                        Mon - Fri                                                                                        11:00 AM - 9:30 PM                                    

                                                                        Sat,                                                                                                 Sun                                                                                        10:00 AM - 9:30 PM                                    
"
35,Chaey Chabu,0,,"76 Ramkhamhaeng 64, Hua Mak, Bangkapi,  Bangkok","

                                                                        Mon - Wed                                                                                        11:30 AM - 3:00 PM,                                             6:00 PM - 9:30 PM                                    

                                                                        Thu - Sun                                                                                        11:30 AM - 3:00 PM,                                             6:00 PM - 9:00 PM                                    
"
36,Dairy Queen (PLATFORM WONGWIANYAI),4.9/5,(10),"99 ถนนลาดหญ้า สมเด็จเจ้าพระยา คลองสาน, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 9:00 PM                                    
"
37,Auu Made,4.5/5,(53),"77, 8 ถนน กรุงธนบุรี แขวง คลองต้นไทร เขตคลองสาน, 10260 Bangkok","

                                                                        Mon - Fri                                                                                        6:00 AM - 2:00 PM                                    
"
38,Zero Kcal (The Mall Thapra),4.5/5,(31),"เดอะมอลล์ ท่าพระ, ชั้น B ใกล้ธนาคารธนชาติ, 129 ถนนรัชดาภิเษก, บุคคโล, 10600 Bangkok","

                                                                        Mon - Fri                                                                                        10:30 AM - 9:00 PM                                    

                                                                        Sat,                                                                                                 Sun                                                                                        10:00 AM - 9:00 PM                                    
"
39,Saras,4.3/5,(1k+),"*[0]* ร้านซารัส, เลขที่ 15, ซอยสุขุมวิท 20, ถนนสุขุมวิท แขวงคลองเตย (ใกล้โรงแรมวินด์เซอร์), 10110 Bangkok","

                                                                        Mon - Fri                                                                                        11:00 AM - 6:30 PM,                                             7:00 PM - 10:00 PM,                                             11:15 AM - 6:15 PM,                                             7:15 PM - 9:45 PM                                    

                                                                        Sat,                                                                                                 Sun                                                                                        11:00 AM - 6:00 PM,                                             7:30 PM - 10:00 PM,                                             11:15 AM - 5:45 PM,                                             7:45 PM - 9:45 PM                                    
"
40,Tabtim Grob Wongwein Yai,4.6/5,(175),"184 ถนนลาดหญ้า คลองสาน, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 8:30 PM                                    
"
41,Wandee Coffee By Koy,4.6/5,(3),"26 ถนนอรุณอมรินทร์ วัดกัลยา ธนบุรี, 10600 Bangkok","

                                                                        Mon - Fri                                                                                        10:00 AM - 6:00 PM                                    

                                                                        Sat                                                                                        10:00 AM - 2:00 PM                                    
"
42,Summer Mood Ice Cream,0,,"41 ซอย วัดใหญ่ศรีสุพรรณ, หิรัญรูจี, ธนบุรี, 10600 Bangkok","

                                                                        Mon - Fri                                                                                        10:00 AM - 4:30 PM                                    
"
43,Wat Sai Boat Noodle (Rod-Ded),4.4/5,(15),"เอกชัย 21, จอมทอง, 10150 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 1:30 PM                                    
"
44,Nai Tor Nuerthon Charoen Nakhon,4.5/5,(47),"1825 ถนนเจริญนคร บางลำภูล่าง คลองสาน, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 9:00 PM                                    
"
45,Nuang Wat Sigha Hoi Tod Wongwienyai,4.7/5,(7),"สถานีรถไฟวงเวียนใหญ่, ริมทางรถไฟ, บางยี่เรือ, ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        5:00 PM - 10:30 PM                                    
"
46,Cafe Bora (ICONSIAM),0,,"ชั้น 5 ไอคอนสยาม 299 ถนนเจริญนคร แขวงคลองต้นไทร เขตคลองสาน, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 9:30 PM                                    
"
47,Seoul Zap,3/5,(2),"98-96 ซอยรัชดาภิเษก15 บุคคโล ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 10:45 PM                                    
"
48,Krua Kookkai,4.2/5,(40),"212 ซอยกรุงธนบุรี 4 บางลำภูล่าง คลองสาน, 10600 Bangkok","

                                                                        Mon - Fri,                                                                                                 Sun                                                                                        11:00 AM - 7:30 PM                                    
"
49,Aroi Soi 8,4.7/5,(7),"25 ซอยเจริญนคร 8 คลองต้นไทร, 10600 Bangkok","

                                                                        Mon - Sat                                                                                        9:30 AM - 3:00 PM                                    
"
